pitcher,pitch_type,pitch_name,family,pitches,usage,whiff,putaway,velo
676755,SL,Slider,Breaking,69,0.11129032258064517,0.28205128205128205,0.3125,83.96521739130435
676755,CH,Changeup,Offspeed,59,0.09516129032258064,0.16666666666666666,0.16666666666666666,85.85254237288135
676755,ST,Sweeper,Breaking,39,0.06290322580645161,0.15789473684210525,0.18181818181818182,82.87435897435897
676760,FF,4-Seam FB,Fastball,369,0.44086021505376344,0.28205128205128205,0.3013698630136986,93.7940379403794
676760,CH,Changeup,Offspeed,257,0.3070489844683393,0.2564102564102564,0.14285714285714285,81.76964980544747
676760,FC,Cutter,Fastball,159,0.18996415770609318,0.2608695652173913,0.25,86.59433962264151
676760,ST,Sweeper,Breaking,52,0.06212664277180406,0.16,0.1,82.16538461538461
676775,FS,Splitter,Offspeed,235,0.4709418837675351,0.34146341463414637,0.24074074074074073,89.45361702127659
676775,FF,4-Seam FB,Fastball,122,0.24448897795591182,0.08620689655172414,0.16666666666666666,96.43196721311476
676775,SI,Sinker,Fastball,118,0.23647294589178355,0.08163265306122448,0.0,95.53474576271185
676879,SI,Sinker,Fastball,576,0.5289256198347108,0.14957264957264957,0.09433962264150944,97.45434027777777
676879,CU,Curveball,Breaking,211,0.19375573921028466,0.5344827586206896,0.5675675675675675,83.21090047393365
676879,SL,Slider,Breaking,158,0.14508723599632692,0.5735294117647058,0.5102040816326531,85.01962025316455
676879,CH,Changeup,Offspeed,115,0.10560146923783287,0.5254237288135594,0.5333333333333333,91.62521739130435
676917,FF,4-Seam FB,Fastball,647,0.3501082251082251,0.21712538226299694,0.19696969696969696,96.70463678516228
676917,KC,Knuckle-Curve,Breaking,493,0.2667748917748918,0.3933649289099526,0.375,85.51196754563895
676917,SI,Sinker,Fastball,288,0.15584415584415584,0.11764705882352941,0.1111111111111111,96.09687500000001
676917,ST,Sweeper,Breaking,214,0.11580086580086581,0.2857142857142857,0.21428571428571427,85.64345794392524
676917,CH,Changeup,Offspeed,145,0.07846320346320346,0.208955223880597,0.20833333333333334,88.83999999999999
676917,FC,Cutter,Fastball,59,0.03192640692640693,0.17647058823529413,0.125,93.05593220338983
676962,KC,Knuckle-Curve,Breaking,395,0.37124060150375937,0.4405940594059406,0.425531914893617,86.83291139240507
676962,FF,4-Seam FB,Fastball,388,0.36466165413533835,0.16292134831460675,0.14285714285714285,96.36778350515463
676962,SI,Sinker,Fastball,221,0.20770676691729323,0.13541666666666666,0.16666666666666666,96.47239819004524
676962,CH,Changeup,Offspeed,60,0.05639097744360902,0.34782608695652173,0.42857142857142855,90.12666666666668
676974,ST,Sweeper,Breaking,537,0.30016769144773614,0.35658914728682173,0.4028776978417266,88.98715083798884
676974,SL,Slider,Breaking,466,0.2604807154835103,0.39574468085106385,0.35802469135802467,90.14678111587982
676974,FF,4-Seam FB,Fastball,430,0.2403577417551705,0.125,0.1111111111111111,95.1
676974,CH,Changeup,Offspeed,183,0.10229178311906093,0.3375,0.15789473684210525,87.16939890710383
676974,SI,Sinker,Fastball,173,0.09670206819452208,0.05063291139240506,0.0,93.56127167630059
676979,FF,4-Seam FB,Fastball,196,0.32666666666666666,0.26804123711340205,0.25,95.76530612244896
676979,FC,Cutter,Fastball,151,0.25166666666666665,0.2222222222222222,0.375,90.90066225165565
676979,SI,Sinker,Fastball,134,0.22333333333333333,0.17857142857142858,0.35294117647058826,95.16044776119404
676979,ST,Sweeper,Breaking,89,0.14833333333333334,0.2553191489361702,0.21212121212121213,83.28314606741573
677020,SL,Slider,Breaking,56,0.5185185185185185,0.4444444444444444,0.2857142857142857,82.36964285714286
677053,FF,4-Seam FB,Fastball,210,0.47191011235955055,0.2830188679245283,0.275,94.28142857142856
677053,ST,Sweeper,Breaking,112,0.251685393258427,0.40425531914893614,0.38095238095238093,82.39553571428571
