batter,family,pitches,whiff,slg,xwoba
622761,Fastball,347,0.18579234972677597,0.44871794871794873,0.388958417721519
622761,Offspeed,89,0.46,0.1111111111111111,0.151875
623168,Breaking,156,0.26436781609195403,0.125,0.16492105263157894
623168,Fastball,270,0.09285714285714286,0.3387096774193548,0.30785657575757575
623168,Offspeed,122,0.2597402597402597,0.2,0.22348128205128204
624413,Breaking,839,0.345679012345679,0.4409937888198758,0.35019311049723756
624413,Fastball,1312,0.22452229299363058,0.5302491103202847,0.43273525161290327
624413,Offspeed,258,0.31666666666666665,0.45614035087719296,0.3154810847457627
624424,Breaking,301,0.3592233009708738,0.3673469387755102,0.25709943396226415
624424,Fastball,476,0.20869565217391303,0.6126126126126126,0.3646323801652893
624424,Offspeed,186,0.4105263157894737,0.22448979591836735,0.24323684444444443
624428,Breaking,130,0.375,0.11764705882352941,0.23218516666666666
624428,Fastball,329,0.20118343195266272,0.47058823529411764,0.2872525909090909
624428,Offspeed,77,0.34146341463414637,0.25,0.1584605294117647
624431,Breaking,148,0.24050632911392406,0.2857142857142857,0.2300227272727273
624431,Fastball,223,0.1619047619047619,0.5789473684210527,0.20556793877551022
624431,Offspeed,42,0.2857142857142857,0.1,0.21475
624512,Breaking,43,0.2,0.4,0.2533658
624512,Fastball,89,0.28,0.19230769230769232,0.25041478260869565
624585,Breaking,554,0.46835443037974683,0.3474576271186441,0.2631658571428572
624585,Fastball,777,0.2868421052631579,0.46745562130177515,0.33567284455958557
624585,Offspeed,194,0.47,0.23809523809523808,0.196349
624641,Breaking,254,0.32894736842105265,0.29411764705882354,0.32976670149253734
624641,Fastball,436,0.19923371647509577,0.38235294117647056,0.35244440196078436
624641,Offspeed,124,0.39080459770114945,0.375,0.24938875757575754
628451,Fastball,70,0.08108108108108109,0.3333333333333333,0.15998575
630105,Breaking,286,0.31007751937984496,0.28125,0.19557728571428573
630105,Fastball,776,0.13953488372093023,0.3333333333333333,0.3464920165745856
630105,Offspeed,185,0.41836734693877553,0.2222222222222222,0.1593838695652174
640459,Breaking,42,0.42857142857142855,0.08333333333333333,0.16425285714285717
640459,Fastball,71,0.1794871794871795,0.5,0.3328438666666667
640492,Fastball,63,0.29411764705882354,0.25,0.256603625
640902,Breaking,118,0.24,0.32,0.3805986956521739
640902,Fastball,211,0.1559633027522936,0.3673469387755102,0.3009620408163265
641343,Breaking,623,0.34782608695652173,0.5,0.3236439539473684
641343,Fastball,1014,0.19114219114219114,0.5534883720930233,0.4018413729508197
641343,Offspeed,320,0.4369747899159664,0.5925925925925926,0.38250485714285715
641355,Breaking,459,0.3073170731707317,0.5376344086021505,0.35919652525252527
641355,Fastball,963,0.1655328798185941,0.37777777777777777,0.36040658620689653
641355,Offspeed,278,0.18796992481203006,0.3382352941176471,0.2998776901408451
641487,Breaking,406,0.25,0.29069767441860467,0.2231438021978022
641487,Fastball,979,0.15343915343915343,0.31746031746031744,0.3555213717948718
641487,Offspeed,175,0.14925373134328357,0.65625,0.38144436842105256
641555,Breaking,130,0.46,0.0,0.12365217391304349
641555,Fastball,220,0.14414414414414414,0.453125,0.3081216724137931
641555,Offspeed,54,0.3333333333333333,0.36363636363636365,0.22388888888888892
641584,Breaking,114,0.358974358974359,0.3125,0.30282050000000005
641584,Fastball,238,0.16260162601626016,0.4098360655737705,0.24356994736842102
641584,Offspeed,71,0.2692307692307692,0.625,0.38092105882352945
641598,Breaking,243,0.5789473684210527,0.20512820512820512,0.20709935000000002
641598,Fastball,386,0.2222222222222222,0.39080459770114945,0.35489620430107527
641598,Offspeed,64,0.5,0.14285714285714285,0.2205374375
641680,Breaking,254,0.2740740740740741,0.29850746268656714,0.2571664852941177
641680,Fastball,686,0.2085889570552147,0.4,0.32780496273291926
641680,Offspeed,208,0.2523364485981308,0.4307692307692308,0.270757609375
641820,Breaking,52,0.2413793103448276,0.5555555555555556,0.3578
641820,Fastball,50,0.2727272727272727,0.375,0.269375
641857,Breaking,410,0.43386243386243384,0.21649484536082475,0.231541
641857,Fastball,749,0.22485207100591717,0.46308724832214765,0.35924980891719743
641857,Offspeed,168,0.38202247191011235,0.41304347826086957,0.2791474318181818
641933,Breaking,326,0.40875912408759124,0.375,0.29680063636363635
641933,Fastball,593,0.24390243902439024,0.4728682170542636,0.34698959027777776
641933,Offspeed,147,0.3625,0.125,0.21865038095238098
642020,Fastball,62,0.32432432432432434,0.06666666666666667,0.16046666666666667
642086,Breaking,334,0.2934131736526946,0.410958904109589,0.30776705063291143
642086,Fastball,604,0.12714776632302405,0.3986013986013986,0.3274440066666667
642086,Offspeed,190,0.3118279569892473,0.26,0.21458485714285716
642201,Breaking,197,0.3225806451612903,0.4,0.24761704545454546
642201,Fastball,386,0.21608040201005024,0.5268817204301075,0.2711683076923077
642201,Offspeed,107,0.36666666666666664,0.19230769230769232,0.2495515357142857
642215,Breaking,188,0.45454545454545453,0.3793103448275862,0.26354999999999995
642215,Fastball,265,0.25,0.4067796610169492,0.3041467166666667
642215,Offspeed,97,0.4489795918367347,0.09090909090909091,0.1610394761904762
642350,Breaking,207,0.4418604651162791,0.2631578947368421,0.2486178392857143
642350,Fastball,334,0.2874251497005988,0.6164383561643836,0.3815531153846154
